Sr No.,Total Time (s),Tokens per Second,Generated Tokens
1,15.58509612083435,19.249278152069298,300
2,15.596941709518433,19.234468166955185,300
3,15.593503475189209,19.23816852635629,300
4,15.587658643722534,19.24557351809084,300
5,10.936582326889038,19.200877754411632,210
6,15.57864236831665,19.256691700365877,300
7,15.564469814300537,19.275250578257516,300
8,15.559228420257568,19.281444822932066,300
9,15.563013792037964,19.276489108783654,300
10,15.5574209690094,19.2839236356624,300
