Sr No.,Total Time (s),Tokens per Second,Generated Tokens
1,26.702284336090088,11.235113474646093,300
2,19.275110960006714,11.309987029831388,218
3,26.703380346298218,11.234692731153803,300
4,26.68810224533081,11.241007194244604,300
5,26.687459707260132,11.241428410836736,300
6,26.692387580871582,11.239322643488686,300
7,26.683825254440308,11.242692250037475,300
8,26.67752766609192,11.245220781168003,300
9,26.684035539627075,11.242692250037475,300
10,26.678466081619263,11.245220781168003,300
