Sr No.,Total Time (s),Tokens per Second,Generated Tokens
1,25.20870018005371,11.900511722004046,300
2,25.18822193145752,11.910433539780849,300
3,25.18550944328308,11.91137933772731,300
4,25.202537536621094,11.903344839900011,300
5,25.19391655921936,11.907597046915933,300
6,21.25134563446045,11.905322102489293,253
7,6.785106420516968,11.495946941783345,78
8,19.84944438934326,11.990528490100257,238
9,25.176154375076294,11.916110581506198,300
10,23.638787269592285,11.92943863953636,282
11,25.15035653114319,11.928429423459246,300
12,25.147903442382812,11.929378081756004,300
13,25.17119264602661,11.918477613126218,300
14,25.165085554122925,11.92131929266839,300
15,9.05846619606018,11.591962905718702,105
16,25.150529384613037,11.927955150888632,300
17,25.162301301956177,11.922740640648598,300
18,25.139659881591797,11.933174224343675,300
19,25.160764455795288,11.92321449862883,300
20,25.150097846984863,11.928429423459246,300
21,5.0110023021698,11.57453602075434,58
22,7.797201871871948,11.542901115813775,90
23,25.138680934906006,11.933648912049009,300
24,25.141499996185303,11.932699574400383,300
25,9.433828353881836,11.553953784184865,109
26,25.131839990615845,11.936972783702052,300
27,25.119728803634644,11.942675159235668,300
28,25.11740255355835,11.944101604490982,300
29,25.123287439346313,11.941249054651117,300
30,12.400313138961792,11.774193548387096,146
31,5.7270708084106445,11.698969792212328,67
32,25.10437273979187,11.950286806883366,300
33,23.399842739105225,12.820512820512821,300
34,8.069871187210083,11.895910780669144,96
35,22.767228364944458,13.176966662274344,300
36,18.031346559524536,12.256669069935112,221
37,21.91650390625,13.688004745174977,300
38,21.739538431167603,13.799448022079117,300
39,7.467337131500244,12.45480112494978,93
40,6.369073152542114,12.246820536975978,78
41,18.1026451587677,16.57183892172568,300
42,18.026073455810547,16.642627316098967,300
43,13.233869552612305,15.79265528184978,209
44,17.417425394058228,17.22455072630189,300
45,16.483266830444336,18.20057028453558,300
46,15.75654125213623,19.039157199974614,300
47,15.750194787979126,19.047619047619047,300
48,15.74795389175415,19.0500381000762,300
49,15.748355388641357,19.0500381000762,300
50,6.768462896347046,18.02600472813239,122
